,loan_amnt,grade,issue_d,purpose,last_pymnt_d
0,2500,C,Dec-18,debt_consolidation,Feb-19
1,30000,D,Dec-18,debt_consolidation,Feb-19
2,5000,D,Dec-18,debt_consolidation,Feb-19
3,4000,D,Dec-18,debt_consolidation,Feb-19
4,30000,C,Dec-18,debt_consolidation,Feb-19
5,5550,C,Dec-18,credit_card,Feb-19
6,2000,D,Dec-18,debt_consolidation,Feb-19
7,6000,C,Dec-18,credit_card,Feb-19
8,5000,D,Dec-18,debt_consolidation,Feb-19
9,6000,C,Dec-18,debt_consolidation,Feb-19
10,5500,D,Dec-18,credit_card,Feb-19
11,28000,B,Dec-18,credit_card,Feb-19
12,11200,A,Dec-18,credit_card,Feb-19
13,6500,D,Dec-18,debt_consolidation,Feb-19
14,22000,B,Dec-18,debt_consolidation,Feb-19
15,3500,C,Dec-18,debt_consolidation,Feb-19
16,7000,B,Dec-18,house,Feb-19
17,25000,C,Dec-18,debt_consolidation,Feb-19
18,16000,D,Dec-18,credit_card,Feb-19
19,13000,C,Dec-18,debt_consolidation,Feb-19
20,10000,C,Dec-18,credit_card,Feb-19
21,13000,C,Dec-18,credit_card,Feb-19
22,9600,E,Dec-18,credit_card,Feb-19
23,3500,D,Dec-18,car,Feb-19
24,16000,E,Dec-18,credit_card,Feb-19
25,15000,C,Dec-18,debt_consolidation,Feb-19
26,13000,E,Dec-18,other,Feb-19
27,23000,D,Dec-18,debt_consolidation,Feb-19
28,8000,E,Dec-18,debt_consolidation,Feb-19
29,32075,B,Dec-18,credit_card,Feb-19
30,12000,C,Dec-18,debt_consolidation,Feb-19
31,10000,D,Dec-18,debt_consolidation,Feb-19
32,16000,D,Dec-18,debt_consolidation,Feb-19
33,3300,E,Dec-18,vacation,Feb-19
34,20000,B,Dec-18,credit_card,Feb-19
35,3500,D,Dec-18,credit_card,Feb-19
36,12000,E,Dec-18,credit_card,Feb-19
37,10000,D,Dec-18,credit_card,Feb-19
38,6000,A,Dec-18,credit_card,Feb-19
39,25000,E,Dec-18,credit_card,Feb-19
40,20000,B,Dec-18,debt_consolidation,Feb-19
41,2200,C,Dec-18,debt_consolidation,Feb-19
42,25000,D,Dec-18,debt_consolidation,Feb-19
43,4000,B,Dec-18,debt_consolidation,Feb-19
44,1250,E,Dec-18,other,Feb-19
45,10400,B,Dec-18,credit_card,Feb-19
46,7500,B,Dec-18,debt_consolidation,Feb-19
47,7000,B,Dec-18,other,Feb-19
48,25000,B,Dec-18,debt_consolidation,Feb-19
49,8000,B,Dec-18,credit_card,Feb-19
50,9000,B,Dec-18,credit_card,Feb-19
51,9600,C,Dec-18,debt_consolidation,Feb-19
52,8000,B,Dec-18,car,Feb-19
53,12000,C,Dec-18,credit_card,Feb-19
54,20000,C,Dec-18,debt_consolidation,Feb-19
55,40000,C,Dec-18,debt_consolidation,Feb-19
56,14400,C,Dec-18,debt_consolidation,Feb-19
57,22400,A,Dec-18,debt_consolidation,Feb-19
58,25000,B,Dec-18,debt_consolidation,Feb-19
59,26000,D,Dec-18,debt_consolidation,Feb-19
60,25000,C,Dec-18,debt_consolidation,Feb-19
61,1000,F,Dec-18,other,Feb-19
62,2000,A,Dec-18,credit_card,Feb-19
63,9000,A,Dec-18,debt_consolidation,Feb-19
64,20000,C,Dec-18,debt_consolidation,Feb-19
65,29450,A,Dec-18,debt_consolidation,Feb-19
66,34625,C,Dec-18,debt_consolidation,Feb-19
67,31450,A,Dec-18,debt_consolidation,Feb-19
68,15500,B,Dec-18,credit_card,Feb-19
69,12000,B,Dec-18,debt_consolidation,Feb-19
70,36000,D,Dec-18,debt_consolidation,Feb-19
71,30000,C,Dec-18,debt_consolidation,Feb-19
72,3000,D,Dec-18,debt_consolidation,Feb-19
73,35000,B,Dec-18,debt_consolidation,Feb-19
74,26500,B,Dec-18,credit_card,Feb-19
75,4000,E,Dec-18,debt_consolidation,Feb-19
76,12000,D,Dec-18,credit_card,Feb-19
77,3000,C,Dec-18,home_improvement,Feb-19
78,8000,C,Dec-18,credit_card,Feb-19
79,10250,B,Dec-18,debt_consolidation,Feb-19
80,22400,C,Dec-18,credit_card,Feb-19
81,27000,C,Dec-18,debt_consolidation,Feb-19
82,24000,D,Dec-18,credit_card,Feb-19
83,6500,B,Dec-18,debt_consolidation,Feb-19
84,25000,C,Dec-18,debt_consolidation,Feb-19
85,8000,B,Dec-18,credit_card,Feb-19
86,21000,C,Dec-18,debt_consolidation,Feb-19
87,10000,C,Dec-18,credit_card,Feb-19
88,7500,C,Dec-18,home_improvement,Feb-19
89,30000,C,Dec-18,debt_consolidation,Feb-19
90,3775,C,Dec-18,home_improvement,Feb-19
91,5600,B,Dec-18,debt_consolidation,Feb-19
92,6000,C,Dec-18,other,Feb-19
93,16000,C,Dec-18,debt_consolidation,Feb-19
94,15000,C,Dec-18,credit_card,Feb-19
95,21000,C,Dec-18,debt_consolidation,Feb-19
96,25000,D,Dec-18,debt_consolidation,Feb-19
97,1000,A,Dec-18,other,Feb-19
98,16000,D,Dec-18,credit_card,Feb-19
99,8500,C,Dec-18,debt_consolidation,Feb-19
100,30000,D,Dec-18,debt_consolidation,Jan-19
101,3000,A,Dec-18,debt_consolidation,Feb-19
102,16000,E,Dec-18,credit_card,Feb-19
